report_date,borough,community_districts,family_with_children_commercial_hotel,family_with_children_shelter,family_cluster
2025-07-31,Queens,3.0,1978.0,790.0,
2025-07-31,Queens,4.0,,515.0,
2025-07-31,Queens,5.0,,231.0,
2025-07-31,Queens,6.0,,230.0,
2025-07-31,Queens,7.0,67.0,,
2025-07-31,Queens,8.0,152.0,300.0,
2025-07-31,Queens,9.0,,,
2025-07-31,Queens,10.0,695.0,,
2025-07-31,Queens,11.0,156.0,,
2025-07-31,Queens,12.0,6778.0,1279.0,
2025-07-31,Queens,13.0,489.0,571.0,
2025-07-31,Queens,14.0,482.0,,
2025-07-31,Staten Island,1.0,57.0,491.0,
2025-07-31,Staten Island,2.0,,145.0,
2025-07-31,Staten Island,3.0,,,
2025-07-31,Brooklyn,17.0,285.0,1599.0,
2025-07-31,Bronx,1.0,224.0,1419.0,
2025-07-31,Bronx,2.0,,763.0,
2025-07-31,Bronx,3.0,,1241.0,
2025-07-31,Bronx,4.0,342.0,1914.0,
2025-07-31,Brooklyn,5.0,693.0,535.0,
2025-07-31,Brooklyn,4.0,42.0,789.0,
2025-07-31,Brooklyn,3.0,430.0,362.0,
2025-06-30,Queens,11.0,152.0,,
2025-06-30,Bronx,2.0,,704.0,
2025-06-30,Bronx,1.0,210.0,1168.0,
2025-06-30,Staten Island,3.0,,,
2025-06-30,Staten Island,2.0,,162.0,
2025-06-30,Staten Island,1.0,56.0,503.0,
2025-06-30,Queens,14.0,512.0,5.0,
2025-06-30,Queens,13.0,521.0,584.0,
2025-06-30,Queens,12.0,7119.0,1249.0,
2025-06-30,Queens,10.0,688.0,,
2025-06-30,Queens,9.0,,,
2025-06-30,Queens,8.0,168.0,283.0,
2025-06-30,Queens,7.0,75.0,,
2025-06-30,Queens,6.0,,193.0,
2025-06-30,Queens,5.0,,224.0,
2025-06-30,Queens,4.0,,503.0,
2025-06-30,Queens,3.0,1961.0,696.0,
2025-06-30,Queens,2.0,991.0,222.0,
2025-06-30,Queens,1.0,4374.0,225.0,
2025-06-30,Manhattan,12.0,,,
2025-06-30,Manhattan,11.0,,493.0,
2025-06-30,Manhattan,10.0,,616.0,
2025-06-30,Manhattan,9.0,,576.0,
2025-06-30,Manhattan,8.0,557.0,,
2025-06-30,Manhattan,7.0,983.0,359.0,
2025-06-30,Manhattan,6.0,261.0,593.0,
2025-06-30,Manhattan,5.0,2774.0,383.0,
2025-06-30,Manhattan,4.0,1169.0,348.0,
2025-06-30,Manhattan,3.0,102.0,96.0,
2025-06-30,Manhattan,2.0,320.0,,
2025-06-30,Manhattan,1.0,512.0,,
2025-06-30,Brooklyn,18.0,317.0,762.0,
2025-06-30,Brooklyn,17.0,291.0,1647.0,
2025-06-30,Brooklyn,16.0,617.0,2219.0,
2025-06-30,Brooklyn,15.0,453.0,183.0,
2025-06-30,Brooklyn,14.0,162.0,82.0,
2025-06-30,Brooklyn,13.0,,370.0,
2025-06-30,Brooklyn,12.0,,136.0,
2025-06-30,Brooklyn,11.0,,,
2025-06-30,Brooklyn,10.0,,,
2025-06-30,Brooklyn,9.0,,364.0,
2025-06-30,Brooklyn,8.0,148.0,545.0,
2025-06-30,Brooklyn,7.0,319.0,371.0,
2025-06-30,Brooklyn,6.0,358.0,467.0,
2025-06-30,Brooklyn,5.0,724.0,494.0,
2025-06-30,Brooklyn,4.0,52.0,807.0,
2025-06-30,Brooklyn,3.0,437.0,350.0,
2025-06-30,Brooklyn,2.0,,67.0,
2025-06-30,Brooklyn,1.0,535.0,,
2025-06-30,Bronx,12.0,352.0,1027.0,
2025-06-30,Bronx,11.0,,,
2025-06-30,Bronx,10.0,,538.0,
2025-06-30,Bronx,9.0,270.0,1416.0,
2025-06-30,Bronx,8.0,,612.0,
2025-06-30,Bronx,7.0,435.0,923.0,
2025-06-30,Bronx,6.0,1198.0,1694.0,
2025-06-30,Bronx,5.0,139.0,1104.0,
2025-06-30,Bronx,4.0,331.0,1956.0,
2025-06-30,Bronx,3.0,,1258.0,
2025-05-31,Bronx,9.0,268.0,1471.0,
